Year,Month,Category,Rank,Title,Author,Publisher,PubDate,Price,Rating,ReviewCount,SalesIndex,BookURL
2025,10,국내도서 전체,168,끝까지 해내는 마음은 어떻게 탄생하는가,"웬디 그롤닉 ,  벤저민 헤디 ,  프랭크 워렐  저/ 정지현  역",현대지성,2026년 04월,"17,910원",9.6,35,36603,https://www.yes24.com/product/goods/184276075
2025,10,국내도서 전체,169,디그 잇 2 더블특전판,요시다마루  글그림,학산문화사,2026년 05월,"6,300원",,0,12690,https://www.yes24.com/product/goods/189186553
2025,10,국내도서 전체,170,사랑이 있으니 살아집디다,"유시민 ,  김세라  저/ 4.9통일평화재단  편",도서출판은빛,2026년 03월,"16,200원",8.8,123,129567,https://www.yes24.com/product/goods/183023638
2025,10,국내도서 전체,171,2026 고종훈 한국사 지방직대비 동형모의고사,고종훈  저,발해북스,2026년 03월,"15,300원",9.6,19,28692,https://www.yes24.com/product/goods/183545882
2025,10,국내도서 전체,172,삶으로 다시 날아오르기,빌헬름 슈미트  저/ 강민경  역,피카(FIKA),2026년 03월,"16,200원",10.0,25,35958,https://www.yes24.com/product/goods/182040139
2025,10,국내도서 전체,173,김재우의 기초 영어회화 100,김재우  저,상상스퀘어,2024년 12월,"17,010원",9.7,131,105702,https://www.yes24.com/product/goods/139853780
2025,10,국내도서 전체,174,2026/27 똑똑한은경쌤 손해평가사 2차 이론서 +100% 무료강의,한은경  편저,직업상점,2026년 04월,"38,700원",10.0,11,26265,https://www.yes24.com/product/goods/187965734
2025,10,국내도서 전체,175,3040 부린이 처음 부동산 투자,김학렬  저,포르체,2026년 04월,"21,600원",8.2,10,20625,https://www.yes24.com/product/goods/183211997
2025,10,국내도서 전체,176,라오어의 미국주식 무한매수법,라오어  저,알키,2021년 06월,"14,400원",9.0,203,53586,https://www.yes24.com/product/goods/101875887
2025,10,국내도서 전체,177,ETS 토익 단기공략 750+ (LC+RC),ETS  저,YBM(와이비엠),2025년 07월,"17,550원",9.8,63,135504,https://www.yes24.com/product/goods/148193221
2025,10,국내도서 전체,178,해커스 일본어 첫걸음 히라가나 가타카나 쓰기노트,해커스 일본어연구소  저,해커스어학연구소,2024년 06월,"7,200원",9.9,134,95625,https://www.yes24.com/product/goods/117527279
2025,10,국내도서 전체,179,지리로 보는 세상의 비밀,녠웨  저/ 하은지  역,이든서재,2026년 05월,"17,820원",10.0,6,12276,https://www.yes24.com/product/goods/188189624
2025,10,국내도서 전체,180,초판본 하늘과 바람과 별과 시,윤동주  저,더스토리,2024년 12월,"2,700원",9.9,294,113769,https://www.yes24.com/product/goods/140042426
2025,10,국내도서 전체,181,동물농장,조지 오웰  저/ 도정일  역,민음사,2001년 02월,"7,200원",9.6,798,75063,https://www.yes24.com/product/goods/17352
